Category: All categories,,,,,,,,,,,,,
,,,,,,,,,,,,,
Time,evergreen hospital: (Seattle-Tacoma WA),emergency room: (Seattle-Tacoma WA),emergency: (Seattle-Tacoma WA),,Time,northwest medical center: (Seattle-Tacoma WA),overlake hospital: (Seattle-Tacoma WA),UW hospital: (Seattle-Tacoma WA),,Time,swedish hospital: (Seattle-Tacoma WA),harborview medical center: (Seattle-Tacoma WA),Virginia Mason hospital: (Seattle-Tacoma WA)
2018-05-02T02:28:00-07:00,0,0,0,,2018-05-02T02:36:00-07:00,0,0,0,,2018-05-02T02:36:00-07:00,0,0,0
2018-05-02T02:36:00-07:00,0,14,43,,2018-05-02T02:44:00-07:00,0,91,0,,2018-05-02T02:44:00-07:00,0,0,0
2018-05-02T02:44:00-07:00,0,0,0,,2018-05-02T02:52:00-07:00,0,0,0,,2018-05-02T02:52:00-07:00,0,0,0
2018-05-02T02:52:00-07:00,0,0,30,,2018-05-02T03:00:00-07:00,0,0,0,,2018-05-02T03:00:00-07:00,0,0,0
2018-05-02T03:00:00-07:00,0,0,32,,2018-05-02T03:08:00-07:00,0,0,0,,2018-05-02T03:08:00-07:00,0,0,0
2018-05-02T03:08:00-07:00,0,0,100,,2018-05-02T03:16:00-07:00,0,0,0,,2018-05-02T03:16:00-07:00,0,91,0
2018-05-02T03:16:00-07:00,0,0,66,,2018-05-02T03:24:00-07:00,0,0,0,,2018-05-02T03:24:00-07:00,96,0,0
2018-05-02T03:24:00-07:00,0,0,34,,2018-05-02T03:32:00-07:00,0,0,0,,2018-05-02T03:32:00-07:00,100,0,0
2018-05-02T03:32:00-07:00,0,18,35,,2018-05-02T03:40:00-07:00,0,100,0,,2018-05-02T03:40:00-07:00,0,0,0
2018-05-02T03:40:00-07:00,0,0,0,,2018-05-02T03:48:00-07:00,0,0,0,,2018-05-02T03:48:00-07:00,0,95,0
2018-05-02T03:48:00-07:00,0,0,34,,2018-05-02T03:56:00-07:00,0,0,0,,2018-05-02T03:56:00-07:00,0,0,0
2018-05-02T03:56:00-07:00,0,0,0,,2018-05-02T04:04:00-07:00,0,0,0,,2018-05-02T04:04:00-07:00,94,0,0
2018-05-02T04:04:00-07:00,0,0,17,,2018-05-02T04:12:00-07:00,0,0,0,,2018-05-02T04:12:00-07:00,0,0,0
2018-05-02T04:12:00-07:00,0,16,32,,2018-05-02T04:20:00-07:00,0,0,0,,2018-05-02T04:20:00-07:00,0,0,0
2018-05-02T04:20:00-07:00,0,0,0,,2018-05-02T04:28:00-07:00,0,0,0,,2018-05-02T04:28:00-07:00,0,0,0
2018-05-02T04:28:00-07:00,0,15,31,,2018-05-02T04:36:00-07:00,0,0,0,,2018-05-02T04:36:00-07:00,0,0,0
2018-05-02T04:36:00-07:00,0,0,28,,2018-05-02T04:44:00-07:00,0,0,0,,2018-05-02T04:44:00-07:00,0,0,0
2018-05-02T04:44:00-07:00,0,0,13,,2018-05-02T04:52:00-07:00,0,0,0,,2018-05-02T04:52:00-07:00,0,0,0
2018-05-02T04:52:00-07:00,0,0,25,,2018-05-02T05:00:00-07:00,0,0,0,,2018-05-02T05:00:00-07:00,0,0,0
2018-05-02T05:00:00-07:00,0,12,12,,2018-05-02T05:08:00-07:00,0,0,0,,2018-05-02T05:08:00-07:00,0,0,0
2018-05-02T05:08:00-07:00,0,0,42,,2018-05-02T05:16:00-07:00,0,0,0,,2018-05-02T05:16:00-07:00,0,0,0
2018-05-02T05:16:00-07:00,0,9,19,,2018-05-02T05:24:00-07:00,0,0,0,,2018-05-02T05:24:00-07:00,50,0,0
2018-05-02T05:24:00-07:00,0,0,27,,2018-05-02T05:32:00-07:00,0,93,0,,2018-05-02T05:32:00-07:00,0,0,0
2018-05-02T05:32:00-07:00,8,0,8,,2018-05-02T05:40:00-07:00,0,42,0,,2018-05-02T05:40:00-07:00,0,79,0
2018-05-02T05:40:00-07:00,0,0,21,,2018-05-02T05:48:00-07:00,0,0,37,,2018-05-02T05:48:00-07:00,0,0,0
2018-05-02T05:48:00-07:00,0,0,13,,2018-05-02T05:56:00-07:00,0,0,0,,2018-05-02T05:56:00-07:00,0,0,0
2018-05-02T05:56:00-07:00,12,0,17,,2018-05-02T06:04:00-07:00,0,0,0,,2018-05-02T06:04:00-07:00,0,29,0
2018-05-02T06:04:00-07:00,0,0,36,,2018-05-02T06:12:00-07:00,0,0,0,,2018-05-02T06:12:00-07:00,0,26,0
2018-05-02T06:12:00-07:00,0,0,28,,2018-05-02T06:20:00-07:00,0,0,0,,2018-05-02T06:20:00-07:00,48,0,0
2018-05-02T06:20:00-07:00,4,9,21,,2018-05-02T06:28:00-07:00,0,23,0,,2018-05-02T06:28:00-07:00,22,22,0
2018-05-02T06:28:00-07:00,0,0,16,,2018-05-02T06:36:00-07:00,0,61,0,,2018-05-02T06:36:00-07:00,20,0,0
2018-05-02T06:36:00-07:00,0,3,17,,2018-05-02T06:44:00-07:00,0,0,0,,2018-05-02T06:44:00-07:00,36,18,0
2018-05-02T06:44:00-07:00,0,3,19,,2018-05-02T06:52:00-07:00,0,0,18,,2018-05-02T06:52:00-07:00,0,17,0
2018-05-02T06:52:00-07:00,0,0,12,,2018-05-02T07:00:00-07:00,0,0,34,,2018-05-02T07:00:00-07:00,0,16,0
2018-05-02T07:00:00-07:00,3,3,29,,2018-05-02T07:08:00-07:00,0,16,0,,2018-05-02T07:08:00-07:00,16,16,0
2018-05-02T07:08:00-07:00,11,0,11,,2018-05-02T07:16:00-07:00,0,31,0,,2018-05-02T07:16:00-07:00,15,15,0
2018-05-02T07:16:00-07:00,3,0,26,,2018-05-02T07:24:00-07:00,0,0,0,,2018-05-02T07:24:00-07:00,58,28,0
2018-05-02T07:24:00-07:00,0,8,31,,2018-05-02T07:32:00-07:00,0,27,14,,2018-05-02T07:32:00-07:00,13,0,0
2018-05-02T07:32:00-07:00,2,5,35,,2018-05-02T07:40:00-07:00,0,0,0,,2018-05-02T07:40:00-07:00,12,48,12
2018-05-02T07:40:00-07:00,0,0,15,,2018-05-02T07:48:00-07:00,0,25,0,,2018-05-02T07:48:00-07:00,24,23,24
2018-05-02T07:48:00-07:00,0,2,17,,2018-05-02T07:56:00-07:00,0,0,11,,2018-05-02T07:56:00-07:00,11,22,0
2018-05-02T07:56:00-07:00,4,0,10,,2018-05-02T08:04:00-07:00,0,22,0,,2018-05-02T08:04:00-07:00,32,10,0
2018-05-02T08:04:00-07:00,6,2,19,,2018-05-02T08:12:00-07:00,0,21,0,,2018-05-02T08:12:00-07:00,41,0,0
2018-05-02T08:12:00-07:00,0,5,24,,2018-05-02T08:20:00-07:00,10,0,10,,2018-05-02T08:20:00-07:00,10,0,10
2018-05-02T08:20:00-07:00,4,0,14,,2018-05-02T08:28:00-07:00,0,0,0,,2018-05-02T08:28:00-07:00,29,38,0
2018-05-02T08:28:00-07:00,0,5,22,,2018-05-02T08:36:00-07:00,10,0,0,,2018-05-02T08:36:00-07:00,28,19,0
2018-05-02T08:36:00-07:00,0,5,27,,2018-05-02T08:44:00-07:00,0,9,0,,2018-05-02T08:44:00-07:00,0,0,18
2018-05-02T08:44:00-07:00,6,2,24,,2018-05-02T08:52:00-07:00,9,18,9,,2018-05-02T08:52:00-07:00,0,17,0
2018-05-02T08:52:00-07:00,0,0,20,,2018-05-02T09:00:00-07:00,0,0,9,,2018-05-02T09:00:00-07:00,17,9,0
