time,evergreen hospital: (Seattle-Tacoma WA),emergency room: (Seattle-Tacoma WA),emergency: (Seattle-Tacoma WA),northwest medical center: (Seattle-Tacoma WA),overlake hospital: (Seattle-Tacoma WA),UW hospital: (Seattle-Tacoma WA),swedish hospital: (Seattle-Tacoma WA),harborview medical center: (Seattle-Tacoma WA),Virginia Mason hospital: (Seattle-Tacoma WA)
2018-04-27T09,6,3,41,8,37,13,41,17,6
2018-04-27T10,9,3,39,10,48,13,43,25,3
2018-04-27T11,8,3,42,3,53,8,28,25,9
2018-04-27T12,12,3,52,3,28,20,38,17,8
2018-04-27T13,7,3,55,7,35,17,28,22,6
2018-04-27T14,4,4,55,0,47,18,41,24,3
2018-04-27T15,4,3,38,11,38,11,38,24,5
2018-04-27T16,9,3,37,5,27,24,26,24,0
2018-04-27T17,4,5,45,0,12,9,25,14,7
2018-04-27T18,6,4,42,0,21,6,24,5,5
2018-04-27T19,1,8,47,3,21,15,14,23,2
2018-04-27T20,5,6,42,6,24,9,20,4,2
2018-04-27T21,3,4,50,0,19,6,19,2,0
2018-04-27T22,4,5,49,0,8,7,9,13,0
2018-04-27T23,3,6,44,0,16,0,12,22,0
2018-04-28T00,12,2,35,0,8,16,29,19,0
2018-04-28T01,7,5,37,13,67,13,16,8,0
2018-04-28T02,0,23,75,20,0,0,12,12,0
2018-04-28T03,16,31,88,0,28,0,33,0,16
2018-04-28T04,0,6,59,0,0,0,37,0,0
2018-04-28T05,4,9,83,0,47,0,28,41,0
2018-04-28T06,11,7,41,0,12,0,20,7,0
2018-04-28T07,6,1,45,0,13,12,22,4,4
2018-04-28T08,4,3,53,0,9,8,20,20,5
2018-04-28T09,8,6,51,3,34,0,24,14,2
2018-04-28T10,5,3,48,0,27,9,26,14,0
2018-04-28T11,5,4,49,3,23,23,25,18,5
2018-04-28T12,5,3,43,0,17,3,24,20,3
2018-04-28T13,4,3,44,3,26,6,18,10,2
2018-04-28T14,5,4,36,0,9,9,34,25,5
2018-04-28T15,5,3,53,3,14,3,23,15,3
2018-04-28T16,4,4,46,0,20,3,22,18,0
2018-04-28T17,6,5,45,0,20,17,17,10,5
2018-04-28T18,1,4,52,0,17,3,17,7,2
2018-04-28T19,2,7,43,9,21,3,14,12,3
2018-04-28T20,3,3,47,0,24,0,11,9,0
2018-04-28T21,2,6,51,0,15,12,9,5,0
2018-04-28T22,4,6,76,0,7,7,13,6,2
2018-04-28T23,0,5,46,0,19,0,11,8,0
2018-04-29T00,1,4,35,0,15,14,0,21,0
2018-04-29T01,7,16,76,0,12,0,14,0,7
2018-04-29T02,0,7,58,0,0,18,22,22,0
2018-04-29T03,10,10,100,0,0,0,95,0,0
2018-04-29T04,19,0,93,0,100,0,39,39,0
2018-04-29T05,0,20,64,0,27,26,0,31,0
2018-04-29T06,0,5,42,0,13,26,31,47,8
2018-04-29T07,4,3,53,0,42,14,8,0,0
2018-04-29T08,7,3,44,0,13,13,10,13,5
2018-04-29T09,3,6,53,7,35,3,39,8,6
2018-04-29T10,2,3,52,3,13,10,23,9,0
2018-04-29T11,2,8,46,0,12,9,23,9,2
2018-04-29T12,2,2,32,6,21,12,14,7,0
2018-04-29T13,3,4,53,6,29,9,15,12,9
2018-04-29T14,4,3,35,0,21,3,10,2,7
2018-04-29T15,5,2,43,0,23,3,14,15,0
2018-04-29T16,3,5,54,0,17,6,26,7,10
2018-04-29T17,6,6,40,0,22,14,11,10,3
2018-04-29T18,4,6,46,0,11,14,19,10,5
2018-04-29T19,4,5,51,0,16,8,21,5,2
2018-04-29T20,4,6,42,0,11,13,29,8,2
2018-04-29T21,3,5,48,3,14,11,24,10,7
2018-04-29T22,3,3,49,7,0,14,17,15,8
2018-04-29T23,4,10,49,5,16,0,35,6,0
2018-04-30T00,3,7,47,0,19,9,22,0,6
2018-04-30T01,9,6,84,0,78,0,9,0,0
2018-04-30T02,0,9,50,0,49,0,100,0,0
2018-04-30T03,6,35,91,0,31,0,18,18,0
2018-04-30T04,10,21,46,0,27,0,16,0,0
2018-04-30T05,6,3,68,0,0,0,28,0,9
2018-04-30T06,6,9,53,8,23,0,36,9,5
2018-04-30T07,8,4,56,4,77,13,21,5,5
2018-04-30T08,5,4,51,0,53,12,29,35,2
2018-04-30T09,13,4,54,8,51,13,26,21,8
2018-04-30T10,12,4,51,0,48,26,59,21,6
2018-04-30T11,12,2,44,0,33,21,59,19,5
2018-04-30T12,5,2,58,5,50,24,43,24,6
2018-04-30T13,6,3,59,5,39,25,42,26,4
2018-04-30T14,12,3,40,7,54,16,52,14,3
2018-04-30T15,8,6,58,7,34,12,45,35,9
2018-04-30T16,7,9,50,2,22,15,53,22,6
2018-04-30T17,7,5,47,5,27,8,33,22,5
2018-04-30T18,3,4,53,0,31,8,36,10,5
2018-04-30T19,4,7,75,8,40,8,36,9,5
2018-04-30T20,5,6,43,0,32,5,17,9,2
2018-04-30T21,6,6,45,3,14,3,31,11,3
2018-04-30T22,7,6,42,3,14,13,14,10,0
2018-04-30T23,3,5,45,5,21,16,21,12,6
2018-05-01T00,2,10,55,9,9,9,15,5,0
2018-05-01T01,8,3,57,0,30,0,43,0,0
2018-05-01T02,21,0,37,22,46,23,13,13,0
2018-05-01T03,0,0,84,0,58,29,0,0,0
2018-05-01T04,0,9,64,0,0,0,15,0,0
2018-05-01T05,5,5,34,0,14,0,8,0,8
2018-05-01T06,4,4,41,0,22,14,29,25,4
2018-05-01T07,12,4,53,4,33,8,27,24,7
2018-05-01T08,6,4,45,0,51,15,43,24,3
2018-05-01T09,3,5,44,10,45,22,38,31,3
2018-05-01T10,10,3,49,2,28,28,40,22,15
2018-05-01T11,11,4,44,5,41,20,32,27,7
2018-05-01T12,6,3,56,7,28,11,36,29,1
2018-05-01T13,6,3,38,2,31,15,38,34,4
2018-05-01T14,6,6,47,5,65,9,34,20,11
2018-05-01T15,8,4,46,2,28,14,51,31,7
2018-05-01T16,9,5,50,10,54,10,26,14,6
2018-05-01T17,3,5,49,0,29,8,31,17,9
2018-05-01T18,3,2,34,5,27,30,27,27,6
2018-05-01T19,3,4,45,5,8,16,29,11,3
2018-05-01T20,3,9,51,0,18,18,17,19,2
2018-05-01T21,4,4,37,3,21,13,14,14,3
2018-05-01T22,6,4,43,3,24,13,30,12,2
2018-05-01T23,6,8,53,5,5,0,15,16,0
2018-05-02T00,0,3,32,0,27,0,32,0,0
2018-05-02T01,3,6,49,15,15,0,36,0,9
2018-05-02T02,9,4,39,0,47,0,14,0,0
2018-05-02T03,0,6,100,0,30,0,35,35,0
2018-05-02T04,0,10,48,0,0,0,15,0,15
2018-05-02T05,5,5,51,0,44,15,17,17,0
2018-05-02T06,3,6,49,0,14,7,24,20,0
2018-05-02T07,7,6,54,0,26,17,25,28,7
2018-05-02T08,6,6,51,9,21,6,26,19,7
2018-05-02T09,8,4,47,8,25,30,34,19,1
2018-05-02T10,9,3,57,6,47,25,41,24,3
2018-05-02T11,10,3,47,2,41,20,38,27,11
2018-05-02T12,4,3,51,2,22,32,30,26,7
2018-05-02T13,8,3,46,9,50,19,36,32,4
2018-05-02T14,8,4,56,5,29,12,41,25,4
2018-05-02T15,8,4,60,3,38,18,69,19,1
2018-05-02T16,9,3,43,5,46,13,36,24,6
2018-05-02T17,5,3,51,0,32,11,22,10,0
2018-05-02T18,3,4,40,3,26,12,28,14,5
2018-05-02T19,3,3,40,3,28,14,18,10,7
2018-05-02T20,2,2,55,0,10,29,16,5,0
2018-05-02T21,3,8,42,0,20,20,26,15,7
2018-05-02T22,5,9,52,7,49,7,26,2,6
2018-05-02T23,6,6,43,0,11,0,20,10,3
2018-05-03T00,5,7,55,0,19,9,23,22,0
2018-05-03T01,3,6,57,16,32,16,10,0,0
2018-05-03T02,0,17,43,0,0,0,0,28,0
2018-05-03T03,11,11,44,0,0,31,19,0,0
2018-05-03T04,0,9,66,0,0,26,0,62,0
2018-05-03T05,15,18,67,0,29,0,35,17,9
2018-05-03T06,2,0,38,7,7,14,42,20,0
2018-05-03T07,12,3,44,0,17,0,37,24,0
2018-05-03T08,6,4,46,0,22,6,22,22,2
2018-05-03T09,6,4,42,3,54,19,39,20,6
2018-05-03T10,9,4,38,5,35,15,37,21,6
2018-05-03T11,8,2,44,8,20,15,48,24,3
2018-05-03T12,5,2,39,8,41,21,24,26,2
2018-05-03T13,5,2,40,0,25,23,19,25,3
2018-05-03T14,10,6,39,3,41,18,32,35,6
2018-05-03T15,3,5,51,8,37,13,47,19,5
2018-05-03T16,5,5,42,8,28,28,29,26,2
2018-05-03T17,7,6,32,0,23,3,26,22,5
2018-05-03T18,3,3,43,0,25,6,22,16,0
2018-05-03T19,6,3,34,3,42,15,9,21,0
